id,streetName,city,buildingNr,postalCode,apartmentNr
635,Briar Crest,Mohammedia,90,31-421,34
636,Talmadge,Jardin,37,15-145,145
637,Randy,Uvarovo,35,15-145,85
638,Artisan,Hovås,25,12-123,179
639,Orin,Danyang,95,11-456,7
640,Cambridge,Samālūţ,87,31-421,114
641,Northport,Chaínça,58,11-456,21
642,Eastwood,Pionerskiy,67,11-678,40
643,Prairieview,Dolní Sloupnice,51,11-321,167
644,Forest,Colendra,65,55-555,180
645,Sunbrook,Wiślica,95,31-421,107
646,Magdeline,Keleng,75,38-300,48
647,Fieldstone,Bantarsari Kulon,59,38-300,96
648,Crownhardt,Labinot-Mal,32,11-456,53
649,Aberg,Lefortovo,42,43-080,30
650,Mitchell,Bifeng,50,22-446,128
651,Hazelcrest,Arosbaya,64,18-209,7
652,Anzinger,Shengze,85,15-145,22
653,Scott,Sanxixiang,20,11-456,194
654,Gale,La Roxas,20,18-209,75
655,Spaight,Paniówki,91,55-555,15
656,Towne,Dolati,30,15-145,186
657,Hallows,Al Mushannaf,77,55-555,101
658,Hoffman,Parelhas,67,11-678,22
659,Elmside,Talisay,31,67-023,144
660,Mesta,São Paulo de Olivença,97,31-421,157
661,Coolidge,Orosh,100,18-209,155
662,Paget,Villa Ascasubi,95,11-456,96
663,Sherman,Nantou,68,31-421,196
664,Melvin,Liliba,7,38-300,134
665,Kensington,Changling,51,11-321,136
666,Sachs,Tanalt,94,67-023,147
667,Lunder,Velyka Lepetykha,6,31-421,128
668,Burning Wood,Alfena,43,31-421,157
669,West,Huaping,39,18-209,74
670,Bobwhite,Mambi,1,12-123,169
671,Jackson,Pulau Pinang,71,11-678,69
672,Ronald Regan,Anjirserapat,21,38-300,90
673,Forster,Aglipay,55,11-456,14
674,Tony,Quintela,80,31-421,110
675,Forest Run,Trajouce,82,31-421,174
676,Oakridge,Pontalina,42,38-300,190
677,Straubel,Ḑubāh,32,38-300,33
678,Oak,Irahuan,50,11-321,3
679,Rockefeller,Lajeado,57,55-555,38
680,Maywood,Locminé,89,22-446,176
681,Pearson,Kasui,62,11-678,75
682,Chinook,Krasnoshchekovo,57,11-678,121
683,Merrick,Şalākhid,77,15-145,175
684,Forest,Shuangyang,68,11-321,55
685,Green Ridge,Xuefu,38,11-321,78
686,Kennedy,Touba,69,18-209,195
687,Bartillon,Kingston,11,22-446,110
688,Burrows,Marigot,12,67-023,93
689,Merry,Kaliprak,41,11-456,8
690,Thackeray,Saint-Pierre-Montlimart,26,11-678,185
691,Mesta,Likino-Dulevo,89,67-023,54
692,Bobwhite,Chengyue,61,43-080,120
693,Kennedy,Shimen,81,43-080,65
694,International,Jiaoyuan,19,11-456,143
695,Fairview,Kiełczów,19,18-209,190
696,Wayridge,Shouyan,80,11-456,41
697,Lien,Cimanglid,5,11-123,179
698,Spenser,Sechelt,22,43-080,79
699,West,Yuzawa,73,18-209,168
700,Donald,Stepnogorsk,69,31-421,64
701,Summer Ridge,Ransang,5,15-145,56
702,Marquette,Kebonsari,85,11-456,84
703,Sunnyside,Rio das Ostras,59,11-123,48
704,Karstens,Sam Khok,54,22-446,22
705,Kensington,Aktau,68,15-145,14
706,John Wall,Conel,74,43-080,114
707,Pine View,Plereyan,15,43-080,158
708,Everett,Repelón,15,15-145,95
709,Brickson Park,Теарце,32,43-080,32
710,Anthes,Liushun,15,11-321,4
711,Spohn,Tānsen,89,67-023,200
712,Atwood,Balun,29,43-080,67
713,Pepper Wood,Loay,28,11-678,57
714,Charing Cross,Vermoim,26,11-456,39
715,Twin Pines,Rio Claro,59,11-321,25
716,Spaight,Suifenhe,4,18-209,147
717,David,Krivodanovka,22,22-446,199
718,Forster,Saint-Maurice,29,11-321,154
719,Tony,Iradan,96,15-145,132
720,Lawn,Lagayan,52,12-123,81
721,Loeprich,Bonn,13,18-209,102
722,Veith,"Hospitalet De Llobregat, L'",68,22-446,152
723,Shelley,Taraban Timur,59,15-145,5
724,Holy Cross,Ogaminan,91,22-446,198
725,Forest Dale,Aurillac,93,11-321,152
726,Twin Pines,5 de Mayo,45,18-209,51
727,Superior,La Celia,80,31-421,69
728,Leroy,Dongling,29,38-300,68
729,Pine View,Bocowanti,30,11-456,170
730,Farmco,Mataigou,13,11-456,50
731,Bowman,Heping,53,11-123,113
732,Walton,Babana,22,11-678,43
733,Dennis,Tebingtinggi,85,15-145,124
734,Londonderry,San Felipe,5,11-678,83
735,Northridge,Nacimiento,57,31-421,27
736,Westerfield,Guxi,13,38-300,113
737,Everett,Macapá,19,11-678,138
738,Northport,Youngstown,84,11-123,44
739,Cascade,Béja,88,38-300,24
740,Monica,Köneürgench,17,43-080,171
741,Montana,Tambov,62,11-321,174
742,Blue Bill Park,Harstad,81,22-446,199
743,Buhler,Jēkabpils,8,22-446,116
744,Nova,Zheleznogorsk-Ilimskiy,43,43-080,34
745,7th,Bahir Dar,57,11-678,100
746,4th,Satka,60,38-300,99
747,Old Shore,Rochefort,7,11-678,152
748,Lawn,Itaqui,21,12-123,82
749,Fremont,Kasui,89,11-321,105
750,Utah,Ambarakaraka,50,43-080,160
751,Johnson,Kenitra,16,43-080,185
752,Pleasure,Asan,79,43-080,44
753,Schurz,Thanh Ba,14,38-300,125
754,Magdeline,Lezhu,71,12-123,149
755,Butterfield,San Antonio,40,67-023,191
756,Birchwood,Amalfi,1,11-123,182
757,Reinke,Huohua,39,11-678,35
758,Green Ridge,Al Fukhkhārī,88,38-300,75
759,Portage,Artimet,7,11-123,158
760,Red Cloud,Ipatinga,23,18-209,165
761,Aberg,North Little Rock,10,15-145,177
762,John Wall,San Antonio Suchitepéquez,31,22-446,178
763,Raven,North Shore,77,11-456,194
764,Onsgard,Montpellier,88,18-209,120
765,Nevada,Riosucio,20,18-209,131
766,Crowley,Huertas,10,11-321,151
767,Mockingbird,Zaklików,75,11-678,30
768,Ridgeview,Tsalka,47,55-555,146
769,Derek,Ipauçu,98,11-456,45
770,Ronald Regan,Gitega,42,12-123,19
771,Morningstar,Nioki,32,18-209,45
772,Crest Line,Kolbano,65,22-446,178
773,Lakewood,Poste du Lac,91,18-209,156
774,Banding,Kutasari,1,22-446,26
775,Blaine,Zelmeņi,26,43-080,32
776,Comanche,Kobeřice,35,22-446,137
777,Derek,Gose,97,67-023,195
778,Talisman,Benger,70,11-456,5
779,Kennedy,Sunne,83,18-209,128
780,Oak Valley,Los Aquijes,3,12-123,87
781,John Wall,Santana,76,15-145,13
782,Elka,Songgang,29,31-421,131
783,School,Fenghuo,48,11-321,196
784,Russell,Vangaži,21,15-145,16
785,Kinsman,Itsandra,8,22-446,50
786,Kinsman,Dingjia,37,11-123,105
787,Rieder,Manga,50,55-555,164
788,Hintze,La Habana Vieja,14,11-321,99
789,Oriole,Tyoply Stan,34,43-080,136
790,Lien,Kolumbug,64,11-321,183
791,Southridge,Methóni,100,22-446,142
792,School,Navan,6,11-321,59
793,Hayes,Namyangju,33,31-421,105
794,Golf Course,Frederiksberg,39,11-123,179
795,Superior,Trnovlje pri Celju,25,38-300,141
796,Dorton,Kebonagung,21,11-321,2
797,Ohio,Skövde,37,11-321,41
798,Miller,Sande São Martinho,23,15-145,44
799,Jackson,Baoshan,18,43-080,17
800,Alpine,Kutno,4,55-555,66
801,Bay,Kremenets’,68,12-123,54
802,Ramsey,Xingang,3,43-080,97
803,Merchant,Dancheng,84,55-555,68
804,Bultman,Redon,87,11-678,191
805,Blue Bill Park,Mekele,61,11-321,14
806,Waubesa,Corujeira,79,15-145,162
807,Fuller,Wenfu,57,11-123,4
808,Kim,Chợ Gạo,12,11-321,184
809,Village Green,Mahalapye,39,11-123,104
810,Mosinee,Baidoa,15,22-446,158
811,Tennyson,Mazyr,83,11-678,148
812,Carey,Xingnong,17,43-080,149
813,Mifflin,Tianta,70,11-321,125
814,Shelley,Hartola,22,11-123,47
815,Anniversary,Shkodër,81,12-123,4
816,Talmadge,Piñahan,80,15-145,162
817,Nobel,Studénka,22,15-145,55
818,Tony,Gorbatov,30,11-321,36
819,Orin,Uvarovo,2,43-080,94
820,Jay,Luruaco,86,11-456,169
821,Merrick,Novomoskovs’k,48,12-123,109
822,North,Saint-Avertin,71,15-145,95
823,Jenna,Goiânia,85,12-123,174
824,Declaration,Lesnoy,69,11-456,109
825,Pepper Wood,Sucre,83,31-421,69
826,Norway Maple,Yongfeng,5,67-023,2
827,Russell,Chemin Grenier,71,11-678,170
828,Stoughton,Sobral da Adiça,63,22-446,5
829,Melrose,Vidago,83,55-555,123
830,Everett,Izborsk,49,22-446,82
831,Ludington,Áno Kómi,82,11-456,28
832,Ridgeway,Sindangsari,61,22-446,95
833,Coleman,Gombang,41,11-321,95
834,Anzinger,Hữu Lũng,96,67-023,112
835,Darwin,Ludbreg,98,11-321,180
836,Esker,Wijewo,69,22-446,140
837,Thierer,Sumbersarikrajan,3,18-209,167
838,Brickson Park,Waepau,45,22-446,155
839,Springs,Mölndal,50,11-321,171
840,1st,Soho,22,38-300,164
841,Steensland,Rio Claro,75,11-321,134
842,Emmet,Cabanaconde,75,12-123,123
843,Old Shore,Kudang,1,22-446,146
844,Myrtle,Bobrov,41,18-209,35
845,Merrick,Cikawunggading,78,18-209,20
846,Kropf,Xinzheng,26,43-080,87
847,Algoma,Lindesberg,99,67-023,71
848,Johnson,Irupi,70,31-421,99
849,Summit,Tchintabaraden,71,12-123,53
850,Melody,Sremska Mitrovica,68,31-421,180
851,Maple,Florencia,52,38-300,100
852,Sunbrook,Puerto Deseado,95,11-456,74
853,Randy,Xinxu,6,15-145,180
854,Brickson Park,Kinh Môn,74,55-555,88
855,Dapin,Ylihärmä,32,11-456,73
856,Donald,Prizren,28,11-456,176
857,Troy,Shishan,86,11-456,100
858,Buell,Tallbīsah,26,11-321,157
859,Warner,Jiangchang,30,43-080,192
860,Coolidge,Ganfang,21,11-456,197
861,Hansons,Wangcun,78,12-123,168
862,Heffernan,El Agua Dulcita,89,18-209,86
863,Shasta,Azovo,81,11-123,98
864,Roth,Jiujie,6,43-080,91
865,Amoth,Penteado,76,22-446,114
866,6th,Selemadeg Kelod,25,18-209,191
867,Pepper Wood,Romanovo,94,12-123,176
868,Dakota,Saint-Fargeau-Ponthierry,88,15-145,142
869,Shopko,Maromme,76,12-123,159
870,Loeprich,Ambar,74,11-321,45
871,Eastlawn,Coripata,64,12-123,80
872,Warrior,Itápolis,76,18-209,169
873,Northview,Zhoujiadian,97,67-023,47
874,Stuart,Phnom Penh,7,15-145,72
875,Rutledge,Cherryville,57,43-080,178
876,Sunbrook,Futian,75,11-678,56
877,Loomis,Créteil,14,11-123,67
878,Hooker,Cengang,20,22-446,13
879,Morning,Levski,10,67-023,99
880,Loftsgordon,Xingquan,56,18-209,39
881,Starling,Kebonkaret,18,11-678,181
882,Bayside,Zielonki,12,55-555,182
883,Crowley,Jiaowei,80,15-145,40
884,Norway Maple,Bagong Pagasa,20,15-145,55
885,Huxley,Santiago Atitlán,51,43-080,148
886,East,Penedono,11,55-555,98
887,Laurel,Xuelu,25,11-678,45
888,Leroy,Bangshipu,50,31-421,139
889,Jenifer,Turus,89,55-555,96
890,Dwight,Voskopojë,28,67-023,175
891,Dottie,Tonglin,84,11-321,171
892,Stoughton,Milanówek,9,67-023,66
893,Clove,La Virgen,75,38-300,60
894,Pennsylvania,Xiaojia,67,31-421,49
895,Thackeray,Portela,30,18-209,133
896,Spohn,Oesain,28,67-023,72
897,Thompson,Toroy,26,11-456,70
898,Spenser,Karata,75,43-080,126
899,Messerschmidt,Cihideung Satu,12,55-555,26
900,Nobel,Kyzyl-Kyya,44,31-421,67
901,Thierer,Fulnek,76,22-446,99
902,Annamark,Baocun,3,38-300,71
903,Pond,Lyuban’,7,67-023,123
904,Redwing,Singkup,92,11-678,138
905,Ridgeview,Chishtiān Mandi,76,55-555,163
906,Maryland,Nova Lima,66,31-421,109
907,Lakewood,Maple Plain,42,31-421,149
908,Grasskamp,Jinhui,77,15-145,118
909,Coleman,Margorejo,56,11-321,196
910,Judy,Elekmonar,29,11-678,192
911,Coolidge,Stockholm,6,12-123,171
912,Sherman,Zonghan,23,55-555,32
913,7th,Kalangbret,4,11-678,95
914,Gulseth,Varakļāni,2,15-145,79
915,Hanover,Sapernoye,80,43-080,54
916,Mifflin,Buritama,9,22-446,128
917,Sage,Sanqiao,85,31-421,127
918,Dunning,Gubin,25,67-023,69
919,Portage,Sioguí Abajo,3,11-321,27
920,Moose,Kawambwa,7,11-678,171
921,Lillian,Mriyunan,9,31-421,174
922,Warbler,Kotakan Selatan,46,67-023,185
923,Bartillon,Concepción,13,12-123,132
924,Hanson,Verkhniy Landekh,58,67-023,96
925,Huxley,Pulo,6,11-456,8
926,Bluejay,Humaitá,93,31-421,38
927,Forest Dale,Narva,70,11-678,52
928,Londonderry,Vecumnieki,27,43-080,186
929,Bartelt,Changleng,99,15-145,153
930,Hanson,Rato,33,43-080,85
931,Magdeline,Nîmes,61,11-456,20
932,Kingsford,Wilga,59,11-321,18
933,Hooker,Ongi,4,31-421,42
934,Butterfield,Dogbo,7,18-209,21
935,Hovde,Haguimit,92,43-080,67
936,Katie,Pierreville,64,18-209,99
937,Burrows,Furong,21,31-421,185
938,Monterey,Pandansari,92,11-456,63
939,Northport,Putang,49,18-209,117
940,Huxley,Lampa,78,11-123,138
941,Eggendart,Panyuran,23,43-080,140
942,Huxley,Atibaia,29,67-023,157
943,Tony,Aquitania,51,12-123,55
944,Michigan,Besukrejo,13,15-145,117
945,Sullivan,Beiqiao,11,43-080,8
946,Almo,Tamot,36,11-321,108
947,Hooker,Madara,96,11-321,146
948,Ronald Regan,Drummondville,9,12-123,48
949,Oak,Barra Velha,45,22-446,162
950,Lake View,Watangan,98,18-209,34
951,Laurel,Slavyansk-na-Kubani,18,11-123,172
952,Mallard,Cimuncang,77,15-145,175
953,Leroy,Néa Róda,55,11-123,178
954,Cottonwood,Niedźwiedź,68,11-456,7
955,Scofield,Corinto,40,11-678,74
956,Independence,Trongsa,99,11-321,7
957,Dovetail,Zhanlong,73,11-123,123
958,North,Trondheim,38,11-456,89
959,Weeping Birch,Trzcinica,25,55-555,46
960,Jackson,Kista,59,11-123,103
961,Jay,Kongkeshu,4,11-678,163
962,Thierer,Banhā,89,55-555,151
963,Clemons,Am Djarass,19,12-123,106
964,Elka,Coutada,10,11-456,193
965,Golf Course,Nangakeo,33,22-446,169
966,Vahlen,Shilong,80,11-123,173
967,Little Fleur,San Eugenio,92,15-145,197
968,3rd,Putrajaya,93,12-123,164
969,Meadow Vale,Richmond,10,38-300,75
970,Judy,Dawe,15,22-446,63
971,Express,Livadiya,21,18-209,154
972,Ruskin,Sukadana,14,11-456,44
973,Milwaukee,Champaign,81,31-421,166
974,Northfield,Ystad,10,67-023,116
975,Stoughton,Aragarças,64,67-023,151
976,Marquette,Jiuhu,18,12-123,64
977,Prairieview,Phu Kam Yao,81,43-080,57
978,Steensland,Lagoa Santa,77,43-080,128
979,Bay,Hanyuan,27,11-678,96
980,Rusk,Sison,41,38-300,85
981,Doe Crossing,Maranganí,89,43-080,198
982,Forest Dale,Hluboká nad Vltavou,65,22-446,124
983,Packers,Eg-Uur,52,22-446,161
984,Jay,Kutloanong,18,12-123,118
985,Parkside,Puerto Nariño,70,38-300,96
986,Ohio,Vannes,100,67-023,57
987,High Crossing,Pyinmana,98,31-421,71
988,Gina,Kiuruvesi,27,11-321,142
989,Jenifer,Hashimoto,76,67-023,113
990,Stang,Tamano,53,11-456,9
991,Annamark,Shalizhai,53,55-555,122
992,Gale,Pęczniew,65,67-023,115
993,Talmadge,Bicurga,90,11-678,9
994,Lakewood,Verbivka,55,11-678,9
995,Russell,Sosnovyy Bor,83,38-300,195
996,Bunker Hill,Rāvar,85,31-421,187
997,Melby,Sokolniki,69,11-456,6
998,Pierstorff,Maubeuge,66,31-421,132
999,Eastwood,Dalai,66,18-209,59
1000,Old Gate,Pau,33,55-555,103
